ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000006462	31.2450703769949	2.89038843538516e-07	0.00688454144328186	0.997474209739735	0.999936236791504	ENSMUSG00000006462.8	A530013C23Rik	lncRNA	2	167532597	167571092	1	ensembl_havana	RIKEN cDNA A530013C23 gene [Source:MGI Symbol;Acc:MGI:3041178]
ENSMUSG00000009551	4.74614549606289	-1.2939176689423e-05	0.00688495043256125	0.803580341814319	0.999936236791504	ENSMUSG00000009551.3	6330409D20Rik	lncRNA	2	32622632	32631028	-1	ensembl_havana	RIKEN cDNA 6330409D20 gene [Source:MGI Symbol;Acc:MGI:1917980]
ENSMUSG00000010492	42.0659772611623	0.000106997864775317	0.00688409593910375	0.37370336915789	0.999936236791504	ENSMUSG00000010492.11	Uckl1os	lncRNA	2	181220273	181226963	1	havana	uridine-cytidine kinase 1-like 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801877]
ENSMUSG00000011350	0.318120855975709	-6.97282502230382e-06	0.00688513296010208	0.615925675914413	0.999936236791504	ENSMUSG00000011350.16	Gm5893	lncRNA	7	24518220	24539700	1	ensembl_havana	predicted gene 5893 [Source:MGI Symbol;Acc:MGI:3645761]
ENSMUSG00000013562	1.00624920061564	1.7776776738154e-05	0.00688510758486597	0.445385106549597	0.999936236791504	ENSMUSG00000013562.13	4833413E03Rik	lncRNA	17	31776100	31778087	1	ensembl_havana	RIKEN cDNA 4833413E03 gene [Source:MGI Symbol;Acc:MGI:1925354]
ENSMUSG00000015451	4498.97140066653	0.000173613051389564	0.00687634339201806	0.617476061575918	0.999936236791504	ENSMUSG00000015451.17	C4a	lncRNA	17	35028069	35042440	-1	ensembl_havana	complement component 4A (Rodgers blood group) [Source:MGI Symbol;Acc:MGI:98320]
ENSMUSG00000020548	3.0081906098108	-7.00046164259658e-05	0.00688500756772414	0.110107920234328	0.999936236791504	ENSMUSG00000020548.12	1700086D15Rik	lncRNA	11	65042736	65050717	-1	ensembl_havana	RIKEN cDNA 1700086D15 gene [Source:MGI Symbol;Acc:MGI:1921532]
ENSMUSG00000020812	76.5202445592954	0.000302919759059127	0.00688219399894602	0.132840195613131	0.999936236791504	ENSMUSG00000020812.20	Snhg16	lncRNA	11	116562430	116575898	1	ensembl_havana	small nucleolar RNA host gene 16 [Source:MGI Symbol;Acc:MGI:1913543]
ENSMUSG00000020992	17.0912660744477	-5.2283937309619e-05	0.00688420777003395	0.645646299706441	0.999936236791504	ENSMUSG00000020992.6	4930512B01Rik	lncRNA	12	69837062	69887253	1	ensembl_havana	RIKEN cDNA 4930512B01 gene [Source:MGI Symbol;Acc:MGI:1921974]
ENSMUSG00000021101	34.9888597204428	-5.45072361005694e-05	0.00688410627507121	0.648817450231528	0.999936236791504	ENSMUSG00000021101.3	4930408O17Rik	lncRNA	12	104823630	104837794	1	ensembl_havana	RIKEN cDNA 4930408O17 gene [Source:MGI Symbol;Acc:MGI:1921178]
ENSMUSG00000021268	33.6674824780169	4.00118888641145e-05	0.00688421732619519	0.723568388426971	0.999936236791504	ENSMUSG00000021268.19	Meg3	lncRNA	12	109506879	109538165	1	ensembl_havana	maternally expressed 3 [Source:MGI Symbol;Acc:MGI:1202886]
ENSMUSG00000021874	4.8576956303587	3.54314944406646e-05	0.00688490960712945	0.535428135788541	0.999936236791504	ENSMUSG00000021874.14	4933413J09Rik	lncRNA	14	26077729	26121611	1	ensembl_havana	RIKEN cDNA 4933413J09 gene [Source:MGI Symbol;Acc:MGI:1918356]
ENSMUSG00000022187	0.243681959653624	-5.11721593719256e-06	0.00688513382927739	0.703871891244377	0.999936236791504	ENSMUSG00000022187.3	Gm5546	lncRNA	3	104257951	104273929	-1	ensembl_havana	predicted gene 5546 [Source:MGI Symbol;Acc:MGI:3648205]
ENSMUSG00000022288	10.6388689130109	-3.34630093039358e-05	0.00688477425378775	0.640419731402788	0.999936236791504	ENSMUSG00000022288.2	4930447A16Rik	lncRNA	15	37425798	37440888	1	ensembl_havana	RIKEN cDNA 4930447A16 gene [Source:MGI Symbol;Acc:MGI:1922142]
ENSMUSG00000022639	123.901861329298	-0.000177225732190367	0.0068812488882383	0.443983590701214	0.999936236791504	ENSMUSG00000022639.16	Dubr	lncRNA	16	50530732	50553159	-1	ensembl_havana	Dppa2 upstream binding RNA [Source:MGI Symbol;Acc:MGI:1915440]
ENSMUSG00000023737	5.72530274853149	-4.09569596970489e-05	0.00688492124898664	0.462566446341454	0.999936236791504	ENSMUSG00000023737.15	1700082M22Rik	lncRNA	8	105368439	105385190	1	havana	RIKEN cDNA 1700082M22 gene [Source:MGI Symbol;Acc:MGI:1920784]
