ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000000031	3.47976783308217	0.000229343005202246	0.0159622315056648	0.358613408340456	0.99688281168586	ENSMUSG00000000031.18	H19	lncRNA	7	142129262	142131886	-1	ensembl_havana	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000006462	5.12288626833074	4.09016739740107e-05	0.015961426751927	0.890390462682427	0.99688281168586	ENSMUSG00000006462.8	A530013C23Rik	lncRNA	2	167532597	167571092	1	ensembl_havana	RIKEN cDNA A530013C23 gene [Source:MGI Symbol;Acc:MGI:3041178]
ENSMUSG00000009551	0.669372955629945	6.79141929062795e-05	0.0159637934020196	0.544563329254579	0.99688281168586	ENSMUSG00000009551.3	6330409D20Rik	lncRNA	2	32622632	32631028	-1	ensembl_havana	RIKEN cDNA 6330409D20 gene [Source:MGI Symbol;Acc:MGI:1917980]
ENSMUSG00000010492	5.3194050061724	0.000121231696430769	0.0159623161141414	0.619814685676046	0.99688281168586	ENSMUSG00000010492.11	Uckl1os	lncRNA	2	181220273	181226963	1	havana	uridine-cytidine kinase 1-like 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801877]
ENSMUSG00000015451	64.9783838811245	0.000294019885683429	0.0159520410089038	0.636503820166447	0.99688281168586	ENSMUSG00000015451.17	C4a	lncRNA	17	35028069	35042440	-1	ensembl_havana	complement component 4A (Rodgers blood group) [Source:MGI Symbol;Acc:MGI:98320]
ENSMUSG00000020992	0.239185098794213	2.28631111077e-05	0.0159640631330363	0.716066840651114	0.99688281168586	ENSMUSG00000020992.6	4930512B01Rik	lncRNA	12	69837062	69887253	1	ensembl_havana	RIKEN cDNA 4930512B01 gene [Source:MGI Symbol;Acc:MGI:1921974]
ENSMUSG00000021268	36.4075863404475	-0.00118658911911921	0.0159585556267412	0.005116125209826	0.99688281168586	ENSMUSG00000021268.19	Meg3	lncRNA	12	109506879	109538165	1	ensembl_havana	maternally expressed 3 [Source:MGI Symbol;Acc:MGI:1202886]
ENSMUSG00000021874	0.485131013381511	-6.08338707950498e-05	0.0159639913153319	0.441386660763733	0.99688281168586	ENSMUSG00000021874.14	4933413J09Rik	lncRNA	14	26077729	26121611	1	ensembl_havana	RIKEN cDNA 4933413J09 gene [Source:MGI Symbol;Acc:MGI:1918356]
ENSMUSG00000022639	10.24658949028	-0.000422976322627123	0.0159586846445541	0.312691983671186	0.99688281168586	ENSMUSG00000022639.16	Dubr	lncRNA	16	50530732	50553159	-1	ensembl_havana	Dppa2 upstream binding RNA [Source:MGI Symbol;Acc:MGI:1915440]
ENSMUSG00000023737	0.818947412321549	2.43324031234335e-05	0.0159638500815869	0.814481862671365	0.99688281168586	ENSMUSG00000023737.15	1700082M22Rik	lncRNA	8	105368439	105385190	1	havana	RIKEN cDNA 1700082M22 gene [Source:MGI Symbol;Acc:MGI:1920784]
ENSMUSG00000025450	12.2211669254209	0.000111823304968424	0.0159602246010422	0.753149566736902	0.99688281168586	ENSMUSG00000025450.5	Gm9752	lncRNA	13	119610340	119613297	-1	ensembl_havana	predicted gene 9752 [Source:MGI Symbol;Acc:MGI:3641896]
ENSMUSG00000025644	4.39781686747227	-0.000125921275779113	0.0159617910839218	0.648841557208521	0.99688281168586	ENSMUSG00000025644.11	Gm7628	lncRNA	9	108922912	108926864	-1	ensembl_havana	predicted gene 7628 [Source:MGI Symbol;Acc:MGI:3643956]
ENSMUSG00000025961	0.528048209027519	-2.66541323529222e-05	0.0159639955336195	0.73309906428826	0.99688281168586	ENSMUSG00000025961.2	4933402D24Rik	lncRNA	1	63794066	63808426	-1	ensembl_havana	RIKEN cDNA 4933402D24 gene [Source:MGI Symbol;Acc:MGI:1921676]
ENSMUSG00000026729	0.629947386328112	-6.00124002678803e-05	0.0159638846497121	0.541249856060783	0.99688281168586	ENSMUSG00000026729.10	4930562F07Rik	lncRNA	1	159902305	159905555	-1	ensembl_havana	RIKEN cDNA 4930562F07 gene [Source:MGI Symbol;Acc:MGI:1922505]
