ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000120512	375.08520888659	0.567327511878039	0.183952043352299	1.39159967357481e-05	0.00589090789477542	ENSMUSG00000120512.1		lncRNA	12	73086116	73087384	1	havana_tagene	novel transcript
ENSMUSG00000116877	32.0546314866866	-0.87844940978448	0.389805432329775	2.17706243371037e-05	0.00782970495894298	ENSMUSG00000116877.2	4921517D16Rik	lncRNA	16	57152314	57155795	1	havana	RIKEN cDNA 4921517D16 gene [Source:MGI Symbol;Acc:MGI:1918126]
ENSMUSG00000044574	160.49533400049	-0.860280612429458	0.449171229045514	3.04506069305506e-05	0.00977169799177797	ENSMUSG00000044574.6	5031434C07Rik	lncRNA	6	112262554	112265798	-1	ensembl_havana	RIKEN cDNA 5031434C07 gene [Source:MGI Symbol;Acc:MGI:2442810]
ENSMUSG00000097375	455.925707717529	-0.417020911201077	0.155137183331369	5.42033692753791e-05	0.0143181101362993	ENSMUSG00000097375.4	6720427I07Rik	lncRNA	13	48686381	48699976	-1	havana	RIKEN cDNA 6720427I07 gene [Source:MGI Symbol;Acc:MGI:1924398]
ENSMUSG00000097495	19.2909283020031	0.737590921150197	0.537409192164716	6.21950323093759e-05	0.0158645174721454	ENSMUSG00000097495.2	Gm26651	lncRNA	13	52127250	52130619	1	havana	predicted gene, 26651 [Source:MGI Symbol;Acc:MGI:5477145]
ENSMUSG00000120429	64.4565935388616	-0.659884008045491	0.351379252826724	8.18006498351471e-05	0.0192132562948263	ENSMUSG00000120429.1		lncRNA	8	84930373	84930713	-1	havana_tagene	novel transcript
ENSMUSG00000097296	58.2456501269906	-0.65010968319236	0.359610191471698	9.21749082159612e-05	0.0203767997096085	ENSMUSG00000097296.2	Gm26532	lncRNA	8	84935549	84936238	1	havana	predicted gene, 26532 [Source:MGI Symbol;Acc:MGI:5477026]
ENSMUSG00000066170	216.179528159483	0.525842856651802	0.333073214062826	0.000194187830215619	0.0338908865786839	ENSMUSG00000066170.9	E230001N04Rik	lncRNA	17	28741690	28744372	1	ensembl_havana	RIKEN cDNA E230001N04 gene [Source:MGI Symbol;Acc:MGI:2443549]
ENSMUSG00000120025	44.6110648879975	0.40354169027227	0.51653127140315	0.000311864073263334	0.0473652488675366	ENSMUSG00000120025.1		lncRNA	8	127320858	127321308	-1	havana_tagene	novel transcript
ENSMUSG00000111977	39.0247095279747	0.46370644286331	0.43500113370849	0.000389290488735007	0.0526892759447055	ENSMUSG00000111977.2	Gm47163	lncRNA	10	79473690	79475354	1	havana	predicted gene, 47163 [Source:MGI Symbol;Acc:MGI:6095939]
ENSMUSG00000051295	31.3010740375398	0.318086436155777	0.485755852103759	0.000448493714639518	0.0587054667530779	ENSMUSG00000051295.9	9630028B13Rik	lncRNA	1	185161552	185174016	-1	ensembl_havana	RIKEN cDNA 9630028B13 gene [Source:MGI Symbol;Acc:MGI:2442281]
ENSMUSG00000087382	24.1875466187627	-0.315857418570955	0.465998229734578	0.000604471214871151	0.0715866624468834	ENSMUSG00000087382.9	Ctcflos	lncRNA	2	172952577	172980062	1	havana	CCCTC-binding factor (zinc finger protein)-like, opposite strand [Source:MGI Symbol;Acc:MGI:1921411]
ENSMUSG00000085823	53.2865315389168	-0.382926257789863	0.357055148162159	0.000636861906388105	0.0732428005173279	ENSMUSG00000085823.9	Gm13012	lncRNA	4	137609678	137611281	-1	havana	predicted gene 13012 [Source:MGI Symbol;Acc:MGI:3652270]
ENSMUSG00000106951	381.295767666395	-0.278486637935826	0.184260973110255	0.000634590439183924	0.0732428005173279	ENSMUSG00000106951.2	5930430L01Rik	lncRNA	5	148926866	148932033	-1	havana	RIKEN cDNA 5930430L01 gene [Source:MGI Symbol;Acc:MGI:2443110]
ENSMUSG00000097324	500.176006295071	-0.31958732583148	0.283690892654711	0.000843545519795083	0.08974963455531	ENSMUSG00000097324.10	Carmn	lncRNA	18	61782696	61798608	-1	havana	cardiac mesoderm enhancer-associated non-coding RNA [Source:MGI Symbol;Acc:MGI:4439832]
ENSMUSG00000110547	666.1466575784	0.281677319634004	0.232482318134161	0.000934093456669417	0.093390569919069	ENSMUSG00000110547.2	Gm29773	lncRNA	8	124623012	124627359	1	havana	predicted gene, 29773 [Source:MGI Symbol;Acc:MGI:5588932]
ENSMUSG00000114018	33.4013728192063	0.31078018012014	0.419839385350192	0.000943969007856806	0.0939060369015951	ENSMUSG00000114018.3	Gm36495	lncRNA	12	16894882	16900882	-1	havana	predicted gene, 36495 [Source:MGI Symbol;Acc:MGI:5595654]
ENSMUSG00000085772	29.9447262483684	-0.227473281778371	0.418113859296569	0.000964468821943177	0.0945274467063126	ENSMUSG00000085772.9	D630024D03Rik	lncRNA	11	31739169	31774552	-1	havana	RIKEN cDNA D630024D03 gene [Source:MGI Symbol;Acc:MGI:3041224]
ENSMUSG00000085162	12.9330052077907	-0.123390760384716	0.337296046506251	0.00111009506270945	0.103207716671342	ENSMUSG00000085162.9	Gm12295	lncRNA	11	65164428	65256757	-1	havana	predicted gene 12295 [Source:MGI Symbol;Acc:MGI:3650535]
ENSMUSG00000097525	27.6289514815412	-0.286183015735908	0.408506806393613	0.0011181040244459	0.10346882637384	ENSMUSG00000097525.3	Platr31	lncRNA	6	127077260	127087430	1	havana	pluripotency associated transcript 31 [Source:MGI Symbol;Acc:MGI:5477339]
ENSMUSG00000120745	248.9389311214	-0.283925261419929	0.301314997992754	0.00126542434848936	0.110376890030007	ENSMUSG00000120745.1		lncRNA	6	31090674	31091306	1	havana_tagene	novel transcript
ENSMUSG00000086312	55.5079102250726	0.261836622832439	0.394241804059261	0.00134883649800266	0.116175112399398	ENSMUSG00000086312.2	Gm15336	lncRNA	18	39379300	39435743	-1	havana	predicted gene 15336 [Source:MGI Symbol;Acc:MGI:3705096]
ENSMUSG00000097882	185.33216903174	0.243629381970044	0.233607005795701	0.00145927358444601	0.123024183203973	ENSMUSG00000097882.4	0610038B21Rik	lncRNA	8	78243685	78250527	1	havana	RIKEN cDNA 0610038B21 gene [Source:MGI Symbol;Acc:MGI:1917595]
ENSMUSG00000096929	2234.90672520388	-0.231382256718213	0.213367620027173	0.00149983259278626	0.124665167652849	ENSMUSG00000096929.9	A330023F24Rik	lncRNA	1	194658654	194720212	1	havana	RIKEN cDNA A330023F24 gene [Source:MGI Symbol;Acc:MGI:2443958]
ENSMUSG00000107244	46.6239328147584	0.266805681519493	0.34688030614827	0.00154838267325811	0.12730008953365	ENSMUSG00000107244.2	Gm43699	lncRNA	5	43533790	43536980	1	havana	predicted gene 43699 [Source:MGI Symbol;Acc:MGI:5663836]
ENSMUSG00000118202	25.7333394692884	0.168173487581413	0.362250914297234	0.00176682568313632	0.135724956724634	ENSMUSG00000118202.2	C030017B01Rik	lncRNA	18	40672839	40676079	1	havana	RIKEN cDNA C030017B01 gene [Source:MGI Symbol;Acc:MGI:1924774]
ENSMUSG00000117545	345.749370455908	0.229713201853411	0.245393155241288	0.00181929458738825	0.137629981409416	ENSMUSG00000117545.3	Gm30794	lncRNA	17	87762280	87767792	-1	havana	predicted gene, 30794 [Source:MGI Symbol;Acc:MGI:5589953]
ENSMUSG00000118292	23.0833901846642	0.220453736899072	0.357367977877907	0.00203307932647001	0.14655850101249	ENSMUSG00000118292.2	Gm10549	lncRNA	18	33597216	33607763	1	ensembl_havana	predicted gene 10549 [Source:MGI Symbol;Acc:MGI:3641986]
ENSMUSG00000092627	10.7156786428698	0.148992288592561	0.344515322871402	0.00204320177209106	0.146756470965789	ENSMUSG00000092627.4	D130058E05Rik	lncRNA	1	89857938	89861910	1	havana	RIKEN cDNA D130058E05 gene [Source:MGI Symbol;Acc:MGI:2444614]
ENSMUSG00000120961	95.7854654160028	-0.2193670775162	0.268202713897601	0.00221413312190454	0.154569798573378	ENSMUSG00000120961.1		lncRNA	16	55932346	55936675	-1	havana_tagene	novel transcript, antisense to Senp7
ENSMUSG00000072612	83.4467813258949	0.216083565411937	0.292335281274483	0.00239598328756479	0.16360969770413	ENSMUSG00000072612.4	Gm10382	lncRNA	5	125466386	125467619	1	ensembl_havana	predicted gene 10382 [Source:MGI Symbol;Acc:MGI:3647829]
ENSMUSG00000087623	24.1624315719661	-0.195955734182394	0.3456705024122	0.00244081586868126	0.163661283549075	ENSMUSG00000087623.2	Gm12404	lncRNA	4	41520694	41525823	1	havana	predicted gene 12404 [Source:MGI Symbol;Acc:MGI:3649601]
ENSMUSG00000104693	36.2858043980261	-0.206987394619701	0.326090565540889	0.00253112885855146	0.165112589408983	ENSMUSG00000104693.2	Gm42941	lncRNA	3	101503126	101504446	-1	havana	predicted gene 42941 [Source:MGI Symbol;Acc:MGI:5663078]
ENSMUSG00000104077	178.218629221769	-0.189043673701604	0.210697304916644	0.00257168822518441	0.167210159896304	ENSMUSG00000104077.3	Gm37027	lncRNA	1	194699941	194700593	-1	havana	predicted gene, 37027 [Source:MGI Symbol;Acc:MGI:5610255]
ENSMUSG00000120332	62.1280566743681	-0.206029313347422	0.306800384253302	0.00264171428729968	0.168460088013187	ENSMUSG00000120332.1		lncRNA	14	46458549	46466807	1	havana_tagene	novel transcript
ENSMUSG00000071753	46.2562619459452	0.191352223502825	0.32435072293045	0.00284227465622357	0.177829863396931	ENSMUSG00000071753.14	Cdr1os	lncRNA	X	60159984	60247391	1	ensembl_havana	cerebellar degeneration related antigen 1, opposite strand [Source:MGI Symbol;Acc:MGI:5637821]
ENSMUSG00000120700	126.565237374438	0.188013391368018	0.246697333098536	0.00300193459300472	0.182460561998208	ENSMUSG00000120700.1		lncRNA	4	8939232	8943541	1	havana_tagene	novel transcript
ENSMUSG00000121479	33.4816998217793	-0.181519076905762	0.317769385650708	0.00312390607024755	0.18606695577235	ENSMUSG00000121479.1		lncRNA	18	24067013	24120329	-1	havana	zinc finger and SCAN domain containing 30 [Source:NCBI gene (formerly Entrezgene);Acc:328918]
ENSMUSG00000103577	40.0299396808016	-0.115809248222967	0.30342355927897	0.00325057224904016	0.189658021897076	ENSMUSG00000103577.2	9330162B11Rik	lncRNA	1	187738773	187741187	-1	havana	RIKEN cDNA 9330162B11 gene [Source:MGI Symbol;Acc:MGI:2443717]
