ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000099906	90.393878044471	2.18175668474867	0.286589244012378	2.1017041172464e-16	1.43740394664906e-13	ENSMUSG00000099906.3	Lincmd1	lncRNA	1	20740106	20754522	1	havana	long intergenic non-protein coding RNA of muscle differentiation 1 [Source:MGI Symbol;Acc:MGI:5818206]
ENSMUSG00000097960	214.220606831751	-1.20548874275877	0.167078591046558	4.19293963628544e-15	2.40512427782025e-12	ENSMUSG00000097960.2	A330074K22Rik	lncRNA	8	120931173	120954969	-1	havana	RIKEN cDNA A330074K22 gene [Source:MGI Symbol;Acc:MGI:3045392]
ENSMUSG00000117713	27.7616371182863	1.99509569098908	0.279186690389885	1.13266747619974e-14	6.29409158180741e-12	ENSMUSG00000117713.2	Gm46637	lncRNA	18	61617837	61622291	1	havana	predicted gene, 46637 [Source:MGI Symbol;Acc:MGI:5826274]
ENSMUSG00000106951	632.217354965057	-0.688235771461984	0.101838355346934	3.26861878146706e-13	1.35168788772203e-10	ENSMUSG00000106951.2	5930430L01Rik	lncRNA	5	148926866	148932033	-1	havana	RIKEN cDNA 5930430L01 gene [Source:MGI Symbol;Acc:MGI:2443110]
ENSMUSG00000120025	47.1973718522325	2.04273385211689	0.32987961164085	5.36014500718918e-12	1.64334652616962e-09	ENSMUSG00000120025.1		lncRNA	8	127320858	127321308	-1	havana_tagene	novel transcript
ENSMUSG00000066170	257.875166367689	0.968160128673613	0.166004132946326	2.49870177344739e-11	6.79989981141265e-09	ENSMUSG00000066170.9	E230001N04Rik	lncRNA	17	28741690	28744372	1	ensembl_havana	RIKEN cDNA E230001N04 gene [Source:MGI Symbol;Acc:MGI:2443549]
ENSMUSG00000106120	190.517740069435	-0.851543585783108	0.144414924311253	2.71099635595395e-11	7.19506525396615e-09	ENSMUSG00000106120.2	Gm42697	lncRNA	3	129522494	129533837	1	havana	predicted gene 42697 [Source:MGI Symbol;Acc:MGI:5662834]
ENSMUSG00000110588	25.1895541247569	1.94094521042099	0.327676920671806	3.39445850516019e-11	8.74786393315341e-09	ENSMUSG00000110588.2	Gm45774	lncRNA	8	94897376	94900040	-1	havana	predicted gene 45774 [Source:MGI Symbol;Acc:MGI:5804889]
ENSMUSG00000108322	995.558615087541	-0.601275455587916	0.100102227903578	5.09707015161079e-11	1.25883474216588e-08	ENSMUSG00000108322.4	5430431A17Rik	lncRNA	7	44122960	44135599	1	havana	RIKEN cDNA 5430431A17 gene [Source:MGI Symbol;Acc:MGI:1918618]
ENSMUSG00000110548	118.268205752484	0.697151056395043	0.123079359727326	2.70771643889913e-10	5.53432341569015e-08	ENSMUSG00000110548.2	Gm45721	lncRNA	8	119333866	119337238	-1	havana	predicted gene 45721 [Source:MGI Symbol;Acc:MGI:5804836]
