ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000000031	24.4266416594285	-7.96431775022915e-05	0.0148329130677584	0.717140707573639	0.999993790104707	ENSMUSG00000000031.18	H19	lncRNA	7	142129262	142131886	-1	ensembl_havana	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000006462	7.22059984380949	-6.26981970181245e-05	0.0146841558703872	0.819622946047308	0.999993790104707	ENSMUSG00000006462.8	A530013C23Rik	lncRNA	2	167532597	167571092	1	ensembl_havana	RIKEN cDNA A530013C23 gene [Source:MGI Symbol;Acc:MGI:3041178]
ENSMUSG00000009551	60.2438088032561	0.000508009181269678	0.0145838148551719	0.38646160272836	0.999993790104707	ENSMUSG00000009551.3	6330409D20Rik	lncRNA	2	32622632	32631028	-1	ensembl_havana	RIKEN cDNA 6330409D20 gene [Source:MGI Symbol;Acc:MGI:1917980]
ENSMUSG00000010492	24.9589311869663	-0.000113846932346434	0.014635246439244	0.733744306049148	0.999993790104707	ENSMUSG00000010492.11	Uckl1os	lncRNA	2	181220273	181226963	1	havana	uridine-cytidine kinase 1-like 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801877]
ENSMUSG00000011350	0.269074883498959	3.51940169866703e-05	0.0191204637359363	0.754867961687166	0.999993790104707	ENSMUSG00000011350.16	Gm5893	lncRNA	7	24518220	24539700	1	ensembl_havana	predicted gene 5893 [Source:MGI Symbol;Acc:MGI:3645761]
ENSMUSG00000015451	37.1728082738897	0.000303470600762618	0.0146345884763842	0.450167263553795	0.999993790104707	ENSMUSG00000015451.17	C4a	lncRNA	17	35028069	35042440	-1	ensembl_havana	complement component 4A (Rodgers blood group) [Source:MGI Symbol;Acc:MGI:98320]
ENSMUSG00000020033	0.293972445405237	-5.99915549007308e-05	0.019804130194468	0.604268078813506	0.999993790104707	ENSMUSG00000020033.3	4930463O16Rik	lncRNA	10	84324157	84333299	1	ensembl_havana	RIKEN cDNA 4930463O16 gene [Source:MGI Symbol;Acc:MGI:1923054]
ENSMUSG00000020164	1.17409819374187	4.06700538706145e-05	0.0156401809097919	0.776529821771514	0.999993790104707	ENSMUSG00000020164.8	Kcnmb4os1	lncRNA	10	116253957	116257142	1	ensembl_havana	potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 1 [Source:MGI Symbol;Acc:MGI:1914592]
ENSMUSG00000020548	17.7573203514308	-6.73445080701501e-05	0.0147753884950227	0.772068533529936	0.999993790104707	ENSMUSG00000020548.12	1700086D15Rik	lncRNA	11	65042736	65050717	-1	ensembl_havana	RIKEN cDNA 1700086D15 gene [Source:MGI Symbol;Acc:MGI:1921532]
ENSMUSG00000020703	68.6973336396449	-0.000176080929115608	0.0146081855079047	0.660083934863446	0.999993790104707	ENSMUSG00000020703.4	5530401A14Rik	lncRNA	11	81751499	81785408	1	ensembl_havana	RIKEN cDNA 5530401A14 gene [Source:MGI Symbol;Acc:MGI:1918638]
