ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000086866	269.850403819059	2.97207062462814	0.371996951531847	2.16020788786839e-17	5.87657553295997e-14	ENSMUSG00000086866.3	4930512H18Rik	lncRNA	8	62302040	62375868	1	havana	RIKEN cDNA 4930512H18 gene [Source:MGI Symbol;Acc:MGI:1922361]
ENSMUSG00000086806	104.41598596802	4.94596746149401	0.814295074111739	1.24061145637452e-11	8.18164458335717e-09	ENSMUSG00000086806.2	Gm13054	lncRNA	4	148085548	148088471	-1	havana	predicted gene 13054 [Source:MGI Symbol;Acc:MGI:3702728]
ENSMUSG00000121145	120.637842567526	2.56677686661665	0.482865960927817	5.4162135652642e-09	2.26678953501625e-06	ENSMUSG00000121145.1		lncRNA	7	4974423	4974878	-1	havana_tagene	novel transcript
ENSMUSG00000085025	169.280589258521	1.7469073596575	0.330162083114563	1.92016000513156e-08	6.74007132123839e-06	ENSMUSG00000085025.2	Gm13715	lncRNA	2	85064019	85074022	1	havana	predicted gene 13715 [Source:MGI Symbol;Acc:MGI:3650277]
ENSMUSG00000118020	234.19164987957	1.83065921349457	0.349023305752425	2.42263956197461e-08	8.36887377575451e-06	ENSMUSG00000118020.2	Gm35438	lncRNA	19	27122716	27169409	-1	havana	predicted gene, 35438 [Source:MGI Symbol;Acc:MGI:5594597]
ENSMUSG00000000031	1451.53955179227	1.45468318322376	0.307082662417106	1.71020079735066e-07	4.32780232008632e-05	ENSMUSG00000000031.18	H19	lncRNA	7	142129262	142131886	-1	ensembl_havana	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000113616	31.4212615317994	7.00897691454371	1.72607280093436	2.70902075608046e-07	6.55071319050879e-05	ENSMUSG00000113616.2	Gm45941	lncRNA	12	27996041	28032233	1	havana	predicted gene, 45941 [Source:MGI Symbol;Acc:MGI:5825578]
ENSMUSG00000097068	468.266021637488	1.74870751636327	0.389669204097268	6.27634018495844e-07	0.000135239595490347	ENSMUSG00000097068.4	Gm26760	lncRNA	15	92242208	92275984	1	havana	predicted gene, 26760 [Source:MGI Symbol;Acc:MGI:5477254]
ENSMUSG00000105837	25.199110940912	6.59070925804407	1.85006498399828	8.83499320712126e-07	0.000179697156230449	ENSMUSG00000105837.6	Gm35986	lncRNA	3	129321104	129326037	-1	havana	predicted gene, 35986 [Source:MGI Symbol;Acc:MGI:5595145]
ENSMUSG00000097697	181.656035763427	2.11887638975567	0.502279806713729	1.3193668411004e-06	0.000251871759323403	ENSMUSG00000097697.4	4833412C05Rik	lncRNA	7	67434151	67453887	-1	havana	RIKEN cDNA 4833412C05 gene [Source:MGI Symbol;Acc:MGI:1921154]
