ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000086449	54.4261178895026	0.513922231701472	0.359846689828993	7.46313399639394e-06	0.00755950636031145	ENSMUSG00000086449.2	9030204H09Rik	lncRNA	2	35709202	35713397	1	havana	RIKEN cDNA 9030204H09 gene [Source:MGI Symbol;Acc:MGI:1924915]
ENSMUSG00000121067	93.1131541794884	-0.383605747141778	0.173511615736854	1.15256184290991e-05	0.0101304119876818	ENSMUSG00000121067.1		lncRNA	17	35115894	35116370	1	havana_tagene	novel transcript
ENSMUSG00000104283	468.737810672356	0.31634495808162	0.11247614385219	5.13596605441227e-05	0.0295760803823052	ENSMUSG00000104283.2	Gm37459	lncRNA	3	32993463	33037450	1	havana	predicted gene, 37459 [Source:MGI Symbol;Acc:MGI:5610687]
ENSMUSG00000114504	77.1514233830132	0.318688778840137	0.17673933221483	9.32191953366731e-05	0.0370657276695819	ENSMUSG00000114504.2	Gm48321	lncRNA	14	4447787	4538558	1	havana	predicted gene, 48321 [Source:MGI Symbol;Acc:MGI:6097774]
ENSMUSG00000121080	83.5046807936846	-0.300109999265152	0.287447190224774	0.000130374678021624	0.0410086185689955	ENSMUSG00000121080.1		lncRNA	7	126548378	126548711	-1	havana_tagene	novel transcript, sense intronic to Asphd1
ENSMUSG00000098041	400.793540837361	0.299400217551011	0.138996815873478	0.000171638194109275	0.0462315780907241	ENSMUSG00000098041.2	Gm26981	lncRNA	7	92379048	92382956	1	havana	predicted gene, 26981 [Source:MGI Symbol;Acc:MGI:5504096]
ENSMUSG00000090260	124.630968154217	0.291334334381008	0.133452009641377	0.000230241708735924	0.049295340203717	ENSMUSG00000090260.2	2810442N19Rik	lncRNA	1	161832538	161844063	1	havana	RIKEN cDNA 2810442N19 gene [Source:MGI Symbol;Acc:MGI:1920003]
ENSMUSG00000074024	1537.20644731117	0.2843732368079	0.131829065460582	0.000299459647829834	0.0561907429073958	ENSMUSG00000074024.7	4632427E13Rik	lncRNA	7	92383374	92390718	-1	ensembl_havana	RIKEN cDNA 4632427E13 gene [Source:MGI Symbol;Acc:MGI:1915436]
ENSMUSG00000086453	29.0248666814623	0.251734192374349	0.238084410002765	0.000322365431740569	0.0591593704403022	ENSMUSG00000086453.8	Gm11457	lncRNA	2	164596162	164611586	-1	havana	predicted gene 11457 [Source:MGI Symbol;Acc:MGI:3705139]
ENSMUSG00000109028	61.8200888667316	0.265837250093626	0.193874032282269	0.000332250032067184	0.0597954826350017	ENSMUSG00000109028.2	Gm35842	lncRNA	7	70198617	70204672	1	havana	predicted gene, 35842 [Source:MGI Symbol;Acc:MGI:5595001]
ENSMUSG00000120403	41.3418244892258	0.247156694976107	0.231219563850873	0.000362654241904385	0.0603472433616579	ENSMUSG00000120403.1		lncRNA	1	4855991	4857360	1	havana_tagene	novel transcript
ENSMUSG00000087305	707.432871257341	0.273836521381728	0.114379596749146	0.000387223541288996	0.0615869822812022	ENSMUSG00000087305.10	A430035B10Rik	lncRNA	6	8488795	8510430	-1	havana	RIKEN cDNA A430035B10 gene [Source:MGI Symbol;Acc:MGI:2443789]
ENSMUSG00000085417	54.4662801106211	0.255018555201231	0.177459737716789	0.000486591679193696	0.0655329116333445	ENSMUSG00000085417.3	Gm13919	lncRNA	2	101869968	101897070	1	havana	predicted gene 13919 [Source:MGI Symbol;Acc:MGI:3651616]
ENSMUSG00000110419	343.754297966218	0.273662129070013	0.125831534744031	0.000448298193145954	0.0655329116333445	ENSMUSG00000110419.3	AW046200	lncRNA	8	58104752	58116464	1	havana	expressed sequence AW046200 [Source:MGI Symbol;Acc:MGI:2142745]
ENSMUSG00000085614	60.7124233170948	0.245884936201083	0.160588891202777	0.000754049970274394	0.0817620012552465	ENSMUSG00000085614.3	1700123M08Rik	lncRNA	4	11966565	11994653	1	havana	RIKEN cDNA 1700123M08 gene [Source:MGI Symbol;Acc:MGI:1923915]
ENSMUSG00000087694	1366.4188782447	0.259592318524123	0.127405548777987	0.000768807521387753	0.0817620012552465	ENSMUSG00000087694.9	A530058N18Rik	lncRNA	2	113844083	113862773	1	havana	RIKEN cDNA A530058N18 gene [Source:MGI Symbol;Acc:MGI:2444858]
ENSMUSG00000097211	56.6569623575607	0.219838238770931	0.197432558485459	0.000788352075367514	0.0817620012552465	ENSMUSG00000097211.4	BC065403	lncRNA	9	72269017	72317227	-1	havana	cDNA sequence BC065403 [Source:MGI Symbol;Acc:MGI:3697430]
ENSMUSG00000114627	305.073632164376	-0.229003761336245	0.167021787005575	0.00102736977384782	0.0879056145044734	ENSMUSG00000114627.2	B230220B15Rik	lncRNA	13	108132819	108141203	1	havana	RIKEN cDNA B230220B15 gene [Source:MGI Symbol;Acc:MGI:2444601]
ENSMUSG00000121374	291.289262139656	-0.235397598921701	0.159312819885855	0.00100881147535824	0.0879056145044734	ENSMUSG00000121374.1		lncRNA	7	29653046	29669777	1	ensembl_havana	novel transcript
ENSMUSG00000106032	166.384954304346	0.235523171115566	0.148878354014321	0.0012329976960997	0.0928111846950207	ENSMUSG00000106032.2	Gm42463	lncRNA	3	94320708	94325593	1	havana	predicted gene 42463 [Source:MGI Symbol;Acc:MGI:5662600]
ENSMUSG00000095562	438.235353146357	-0.242917293579927	0.134651314674104	0.00129256175039229	0.0934449403963259	ENSMUSG00000095562.9	Gm55594	lncRNA	X	168792655	168802277	1	ensembl_havana	predicted gene, 55594 [Source:MGI Symbol;Acc:MGI:6847656]
ENSMUSG00000111052	954.1276381911	0.240608416139321	0.111983158953791	0.00149810320292386	0.0997658473835298	ENSMUSG00000111052.2	Gm20139	lncRNA	10	19017499	19082450	1	havana	predicted gene, 20139 [Source:MGI Symbol;Acc:MGI:5012324]
ENSMUSG00000090199	28.8319025306003	0.202221827708554	0.163697500767753	0.00200957956300707	0.112917151817633	ENSMUSG00000090199.2	Gm16029	lncRNA	15	7427378	7440862	1	havana	predicted gene 16029 [Source:MGI Symbol;Acc:MGI:3801714]
ENSMUSG00000109165	95.9387717709696	0.207901029825648	0.157827490984804	0.00204619776328899	0.113232333751369	ENSMUSG00000109165.2	Gm45148	lncRNA	7	6182974	6186560	1	havana	predicted gene 45148 [Source:MGI Symbol;Acc:MGI:5753724]
ENSMUSG00000108869	137.687880327702	0.221861042872647	0.143236044311281	0.00208261940410787	0.113659294276475	ENSMUSG00000108869.2	Gm44532	lncRNA	7	70070663	70102970	-1	havana	predicted gene 44532 [Source:MGI Symbol;Acc:MGI:5753108]
ENSMUSG00000092354	104.774244549069	0.214564420145333	0.149277989666273	0.00217176819362639	0.114395410418648	ENSMUSG00000092354.8	Gm20548	lncRNA	5	101985282	101994276	1	havana	predicted gene 20548 [Source:MGI Symbol;Acc:MGI:5142013]
ENSMUSG00000097855	477.500952242187	0.22952210128605	0.131458382460176	0.00214435502903277	0.114395410418648	ENSMUSG00000097855.10	A930007I19Rik	lncRNA	19	29442150	29500572	-1	havana	RIKEN cDNA A930007I19 gene [Source:MGI Symbol;Acc:MGI:1925029]
ENSMUSG00000099447	1356.46435715306	0.180022802246749	0.177813535772128	0.00219519061006769	0.114395410418648	ENSMUSG00000099447.2	2310030A07Rik	lncRNA	1	150196432	150222522	-1	havana	RIKEN cDNA 2310030A07 gene [Source:MGI Symbol;Acc:MGI:1922834]
ENSMUSG00000085900	315.506246105433	-0.22837918887886	0.115457265906065	0.00251930630912353	0.119185312641255	ENSMUSG00000085900.2	A930041C12Rik	lncRNA	5	107778116	107781716	-1	havana	RIKEN cDNA A930041C12 gene [Source:MGI Symbol;Acc:MGI:1925693]
ENSMUSG00000106099	365.129241274936	0.208256829463837	0.151419556782449	0.00241189589097961	0.119185312641255	ENSMUSG00000106099.2	Gm42664	lncRNA	3	119536857	119540095	-1	havana	predicted gene 42664 [Source:MGI Symbol;Acc:MGI:5662801]
