"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000106099"	777.638080427609	0.762645302336857	0.177082323129691	8.26500300586798e-08	0.00104177786708736
"ENSMUSG00000028268"	482.566775847266	-0.69465069534088	0.16318773324786	8.50917150279635e-08	0.00104177786708736
"ENSMUSG00000091509"	412.859509284151	0.607928321361459	0.224940758442794	1.28137137797855e-06	0.0104585531870609
"ENSMUSG00000110159"	188.075568779111	0.533173341524141	0.252588060664106	3.70744386167479e-06	0.0226951175992422
"ENSMUSG00000105933"	116.264728793755	0.514955469393414	0.340377434020061	1.18927711133577e-05	0.0582412786963354
"ENSMUSG00000110246"	612.299983672496	0.391248564450241	0.269164817338879	1.76930405736906e-05	0.0722052985812312
"ENSMUSG00000107320"	239.096940630426	0.360399279295715	0.265267077121391	2.40522617531397e-05	0.0841348116124827
"ENSMUSG00000104145"	772.921979495186	0.285116376995915	0.219463970844073	3.41214086030858e-05	0.0986059670233071
"ENSMUSG00000102362"	53.484639672925	0.36687931383524	0.386058839620685	3.62433105942075e-05	0.0986059670233071
"ENSMUSG00000106607"	48.2953490232037	0.308243276386169	0.369437726882765	5.40993331573905e-05	0.120425115608351
"ENSMUSG00000112254"	385.282220244731	0.2979538767999	0.254077614879311	4.92116450728424e-05	0.120425115608351
"ENSMUSG00000103303"	87.7295857110013	0.29049338436603	0.310748103367561	8.11699309163659e-05	0.132501795227876
"ENSMUSG00000084911"	604.571455680553	0.232419653693014	0.200229534848626	7.53646193202237e-05	0.132501795227876
"ENSMUSG00000104469"	178.8035483304	0.288496649871212	0.291535647679469	7.86325355188803e-05	0.132501795227876
"ENSMUSG00000102496"	326.413296092954	0.277467131720906	0.253994706625009	6.79502104297909e-05	0.132501795227876
"ENSMUSG00000103952"	116.630893938085	0.277225119202522	0.286656822100104	8.82102072413574e-05	0.134994695906992
"ENSMUSG00000100394"	101.340856178484	0.234650118042001	0.304327453827569	0.000133954211762906	0.172631727854027
"ENSMUSG00000107884"	161.14970098844	0.22617633229117	0.226187440074293	0.000124911446687127	0.172631727854027
"ENSMUSG00002076284"	21.9196656561315	0.146806249980581	0.280068514651146	0.00013228116338868	0.172631727854027
"ENSMUSG00000105322"	65.1731419446187	0.219021359458319	0.305597523297673	0.000143122044406787	0.175224318967229
"ENSMUSG00000105259"	35.6126649330641	0.179048554411356	0.294595306975334	0.000158869611028292	0.176821877074489
"ENSMUSG00000107741"	107.003156693041	0.228311088031265	0.283385456102627	0.000154456227363848	0.176821877074489
"ENSMUSG00000103076"	435.223098053473	0.189188773967555	0.17803593508713	0.000168290266139772	0.179163280726019
"ENSMUSG00000038583"	26.2121654359139	0.15428823600369	0.277781353675793	0.000178175192724484	0.181783240377155
"ENSMUSG00000110299"	92.1823918731854	0.202763555156856	0.239278836991237	0.000209484907263334	0.20517789757
"ENSMUSG00000104154"	141.713210861154	0.186728653068891	0.223552959709716	0.000261782168158235	0.222143883221112
"ENSMUSG00000119227"	918.416671617714	0.188080169964369	0.238493020812242	0.000263096161619385	0.222143883221112
"ENSMUSG00000028780"	1785.66611806868	-0.189248980000106	0.262741239569011	0.000243320148486611	0.222143883221112
"ENSMUSG00000112354"	569.748962243427	0.175236655704472	0.181856002328269	0.000259341748957623	0.222143883221112
"ENSMUSG00000017007"	42.927729066984	-0.017806911048338	0.0905170855802462	0.000294503584713425	0.232619831461062
"ENSMUSG00000078921"	43.2116783768039	-0.0991819252986651	0.219445059927316	0.000292563074127795	0.232619831461062
"ENSMUSG00000110424"	380.413235877845	0.150701064218465	0.127355249916589	0.000329158971794965	0.25186833073036
"ENSMUSG00000102317"	223.620462438506	0.167310031486395	0.193978504136227	0.00034402422071776	0.253315193626007
"ENSMUSG00000106443"	119.297813959887	0.169407918139854	0.217757889841815	0.000351740446920046	0.253315193626007
"ENSMUSG00000104221"	46.5799137380031	0.132901044670807	0.216564375329675	0.000564507851339723	0.262681240481971
"ENSMUSG00002074935"	75.5136404344959	0.142619147137273	0.233666415698284	0.000432729739845647	0.262681240481971
"ENSMUSG00000121263"	204.34564990366	0.142479962608583	0.162506355667792	0.000564017020110204	0.262681240481971
"ENSMUSG00000070342"	150.112047563842	0.125862659496796	0.222845732919428	0.000516832428063159	0.262681240481971
"ENSMUSG00000105378"	481.205227431711	0.156492029821494	0.184619676492959	0.000425720075032463	0.262681240481971
"ENSMUSG00000105655"	91.6991418342574	0.148312604033669	0.218726763324792	0.000480101580949962	0.262681240481971
"ENSMUSG00000106491"	348.073544796554	0.153574562718687	0.1718813527199	0.00043285330619916	0.262681240481971
"ENSMUSG00000107813"	212.079777929053	0.147637548183289	0.208189469287261	0.000510386501716681	0.262681240481971
"ENSMUSG00000104325"	88.96351796821	0.155347970821291	0.193338569246836	0.000447821254605694	0.262681240481971
"ENSMUSG00000007891"	12641.5035473429	-0.133454011493931	0.103002539162079	0.000574393213177371	0.262681240481971
"ENSMUSG00000020067"	389.66131405623	0.140938862382577	0.144209282739061	0.000544092377850449	0.262681240481971
"ENSMUSG00000104383"	88.4960456875764	0.148347247250987	0.191054607118391	0.000517953197874343	0.262681240481971
"ENSMUSG00000105962"	47.0941937760385	0.132048924212318	0.214871134833041	0.000579301927061441	0.262681240481971
"ENSMUSG00000104107"	142.313828489289	0.155355331116852	0.184098837503973	0.000436631448570801	0.262681240481971
"ENSMUSG00000113987"	167.128113894425	0.131360981215246	0.234218994598836	0.00042014913977431	0.262681240481971
"ENSMUSG00000020950"	17.1490677415734	0.0579275665182971	0.157158991941892	0.000550043546541593	0.262681240481971
"ENSMUSG00000115276"	309.759959637558	0.142538726206018	0.152954592414222	0.000540823276055371	0.262681240481971
"ENSMUSG00000115144"	26.4720942485685	0.115535557537814	0.226995534716496	0.000408160772886927	0.262681240481971
"ENSMUSG00000041935"	7806.67674691504	0.130958221638506	0.0659957814046157	0.000571817539012527	0.262681240481971
"ENSMUSG00000089907"	86.4526631204821	0.128385569717089	0.223954083062473	0.000509626047293387	0.262681240481971
"ENSMUSG00000105643"	221.384358042706	0.142103655180856	0.187126527627246	0.000590185866404832	0.262750747723431
"ENSMUSG00000022306"	704.699857229755	0.138181004478013	0.148323562115452	0.000607172480673574	0.26548616717452
"ENSMUSG00000106603"	56.9777651554894	0.124462185989763	0.212334736475341	0.000620883759191407	0.266388621058715
"ENSMUSG00000113775"	196.987706962413	0.13744547455134	0.195677954466241	0.000630994855076594	0.266388621058715
"ENSMUSG00000029174"	3054.75421490676	-0.136804606516583	0.159408173413238	0.00065549995478596	0.269892019522788
"ENSMUSG00000104184"	128.409094808619	0.130662845846811	0.20331613299803	0.00066133795521389	0.269892019522788
"ENSMUSG00000077345"	23.0571158603322	0.0903285318293578	0.193333853942497	0.000694531597475269	0.270073628545191
"ENSMUSG00000109576"	55.0028084016164	0.10969318615756	0.205031267520142	0.000694872114610269	0.270073628545191
"ENSMUSG00000113895"	118.237480352937	0.135750100275302	0.163495623257246	0.000679643603600036	0.270073628545191
"ENSMUSG00000103146"	254.723649177301	0.132349412756037	0.160836185529177	0.000742137218976479	0.270770668545465
"ENSMUSG00000098108"	15.3914925505026	0.0658568173615106	0.164902965043001	0.000780304580824243	0.270770668545465
"ENSMUSG00000028416"	2845.5281046326	-0.126400851547546	0.0709184919312238	0.000796189174845769	0.270770668545465
"ENSMUSG00000107205"	111.23238318188	0.111764832390218	0.198876386079184	0.000794347153662119	0.270770668545465
"ENSMUSG00000029089"	865.204546371216	0.127735382779154	0.0956735055805033	0.00073943791200504	0.270770668545465
"ENSMUSG00000091722"	577.277873663537	0.129210956860804	0.139564392141536	0.000789128942259666	0.270770668545465
"ENSMUSG00000115148"	353.702596310091	0.128412628637925	0.103075359821105	0.000730156236432016	0.270770668545465
"ENSMUSG00000041685"	3053.8636180783	0.127328299503105	0.107338125575711	0.000776808426023224	0.270770668545465
"ENSMUSG00000112391"	69.6871443986574	0.10294356111382	0.199326147327179	0.000751757809301085	0.270770668545465
"ENSMUSG00000105818"	198.304278818777	0.128412340110948	0.171131272692936	0.000811852350317916	0.27231529657376
"ENSMUSG00000102391"	18.4007144718651	0.0564139212430026	0.150979676882062	0.000851441622490825	0.274321046951452
"ENSMUSG00000106631"	362.356759392991	0.127235688739507	0.137821501638305	0.000839502769910332	0.274321046951452
"ENSMUSG00000086539"	207.833061826324	0.127589259570789	0.151818696287816	0.000842515138079234	0.274321046951452
"ENSMUSG00000102523"	319.664403622105	0.124252347494097	0.175172654219875	0.000875423315373432	0.274815580772229
"ENSMUSG00000062353"	4653.44376277603	-0.124363634379981	0.088878615557419	0.000874542173901141	0.274815580772229
"ENSMUSG00000102747"	125.816792955503	0.119274281651025	0.179670060943826	0.000933989256153833	0.284251436672928
"ENSMUSG00000102776"	289.522546757	0.118845805640085	0.170385566034406	0.00099835103952756	0.284251436672928
"ENSMUSG00000104235"	637.520951397879	0.119697399705293	0.171787498118079	0.000974196978032262	0.284251436672928
